{__schema{types{name}}}
query { user(id: 1) { username, password, email } }
query { user(id: 2) { username, password, email } }
query { user(id: 3) { username, password, email } }
query { user(id: 4) { username, password, email } }
query { user(id: 5) { username, password, email } }
query { user(id: 6) { username, password, email } }
query { user(id: 7) { username, password, email } }
query { user(id: 8) { username, password, email } }
query { user(id: 9) { username, password, email } }
query { user(id: 10) { username, password, email } }
query { user(id: 11) { username, password, email } }
query { user(id: 12) { username, password, email } }
query { user(id: 13) { username, password, email } }
query { user(id: 14) { username, password, email } }
query { user(id: 15) { username, password, email } }
query { user(id: 16) { username, password, email } }
query { user(id: 17) { username, password, email } }
query { user(id: 18) { username, password, email } }
query { user(id: 19) { username, password, email } }
query { user(id: 20) { username, password, email } }
query { user(id: 21) { username, password, email } }
query { user(id: 22) { username, password, email } }
query { user(id: 23) { username, password, email } }
query { user(id: 24) { username, password, email } }
query { user(id: 25) { username, password, email } }
query { user(id: 26) { username, password, email } }
query { user(id: 27) { username, password, email } }
query { user(id: 28) { username, password, email } }
query { user(id: 29) { username, password, email } }
query { user(id: 30) { username, password, email } }
query { user(id: 31) { username, password, email } }
query { user(id: 32) { username, password, email } }
query { user(id: 33) { username, password, email } }
query { user(id: 34) { username, password, email } }
query { user(id: 35) { username, password, email } }
query { user(id: 36) { username, password, email } }
query { user(id: 37) { username, password, email } }
query { user(id: 38) { username, password, email } }
query { user(id: 39) { username, password, email } }
query { user(id: 40) { username, password, email } }
query { user(id: 41) { username, password, email } }
query { user(id: 42) { username, password, email } }
query { user(id: 43) { username, password, email } }
query { user(id: 44) { username, password, email } }
query { user(id: 45) { username, password, email } }
query { user(id: 46) { username, password, email } }
query { user(id: 47) { username, password, email } }
query { user(id: 48) { username, password, email } }
query { user(id: 49) { username, password, email } }
query { user(id: 50) { username, password, email } }
query { user(id: 51) { username, password, email } }
query { user(id: 52) { username, password, email } }
query { user(id: 53) { username, password, email } }
query { user(id: 54) { username, password, email } }
query { user(id: 55) { username, password, email } }
query { user(id: 56) { username, password, email } }
query { user(id: 57) { username, password, email } }
query { user(id: 58) { username, password, email } }
query { user(id: 59) { username, password, email } }
query { user(id: 60) { username, password, email } }
query { user(id: 61) { username, password, email } }
query { user(id: 62) { username, password, email } }
query { user(id: 63) { username, password, email } }
query { user(id: 64) { username, password, email } }
query { user(id: 65) { username, password, email } }
query { user(id: 66) { username, password, email } }
query { user(id: 67) { username, password, email } }
query { user(id: 68) { username, password, email } }
query { user(id: 69) { username, password, email } }
query { user(id: 70) { username, password, email } }
query { user(id: 71) { username, password, email } }
query { user(id: 72) { username, password, email } }
query { user(id: 73) { username, password, email } }
query { user(id: 74) { username, password, email } }
query { user(id: 75) { username, password, email } }
query { user(id: 76) { username, password, email } }
query { user(id: 77) { username, password, email } }
query { user(id: 78) { username, password, email } }
query { user(id: 79) { username, password, email } }
query { user(id: 80) { username, password, email } }
query { user(id: 81) { username, password, email } }
query { user(id: 82) { username, password, email } }
query { user(id: 83) { username, password, email } }
query { user(id: 84) { username, password, email } }
query { user(id: 85) { username, password, email } }
query { user(id: 86) { username, password, email } }
query { user(id: 87) { username, password, email } }
query { user(id: 88) { username, password, email } }
query { user(id: 89) { username, password, email } }
query { user(id: 90) { username, password, email } }
query { user(id: 91) { username, password, email } }
query { user(id: 92) { username, password, email } }
query { user(id: 93) { username, password, email } }
query { user(id: 94) { username, password, email } }
query { user(id: 95) { username, password, email } }
query { user(id: 96) { username, password, email } }
query { user(id: 97) { username, password, email } }
query { user(id: 98) { username, password, email } }
query { user(id: 99) { username, password, email } }
query { user(id: 100) { username, password, email } }
